Datum,Umsatz,feiertag,brueckentag,BW,BY,B,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
2013-08-08,1499.007507138282,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-09,1525.3931909835096,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-10,1662.2804720349804,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-11,1725.3536746947912,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-12,1371.9141698482772,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-13,1399.566054030156,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-14,1533.033368518948,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-15,1445.936606987924,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-16,1361.4457786798198,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
2013-08-17,1701.8221409441326,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1
2013-08-18,1673.897714730906,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2013-08-19,1376.837922891106,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2013-08-20,1252.7861094515642,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2013-08-21,1255.9019374005727,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2013-08-22,1314.464436931448,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2013-08-23,1397.1021019374625,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2013-08-24,1852.823512770426,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2013-08-25,1806.35854658638,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2013-08-26,1335.476770356454,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2013-08-27,1206.9568569172761,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2013-08-28,1189.9601463547679,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2013-08-29,1226.9744435244093,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-08-30,1230.8254219210733,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-08-31,1407.8270071434235,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-09-01,1357.25258961663,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-09-02,987.9570966616532,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-09-03,1007.9367383256798,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-09-04,1036.3492750385099,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-05,1104.1439817470637,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-06,1137.1523677303987,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-07,1505.9011969610501,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-08,1496.3184718677348,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-09,1002.2125915332035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-10,987.4006905061897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-11,961.6294394395425,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-12,960.9185525439016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-13,1044.4131932524783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-14,1388.0032063371368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-15,1268.8126467225404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-16,960.0831498039095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-17,987.3440321601655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-18,958.5633732228488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-19,995.0860624572204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-20,1070.2218759478337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-21,1299.6943900674814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-22,1344.3393186626458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-23,932.4657789829656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-24,914.6742223348679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-25,966.9209453477747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-26,1004.2437101233693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27,952.7399318195729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-28,1350.0529134563583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-29,1220.5425667105287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-30,1088.6628318742476,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-10-01,1035.0741960123707,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-10-02,1219.5683746591899,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-10-03,1449.987021613767,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-10-04,1192.034068278957,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-05,1303.8838669989625,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-06,1323.0779850281535,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-07,1032.7783396125972,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-08,920.066699108027,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-09,1035.1309532188438,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-10,963.0647997754841,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-11,942.7444736561224,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2013-10-12,1129.137465971895,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0
2013-10-13,1080.0464069199502,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
2013-10-14,916.6677541944355,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0
2013-10-15,925.6010830449741,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0
2013-10-16,994.0460487740608,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0
2013-10-17,883.4950863629008,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0
2013-10-18,947.0985668945707,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0
2013-10-19,1062.920368941858,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2013-10-20,1046.0775401777223,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-10-21,852.7855280984027,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
2013-10-22,956.7944758371692,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
2013-10-23,958.0694758951811,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
2013-10-24,1010.5301005647036,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
2013-10-25,954.728693015921,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
2013-10-26,1096.52536822654,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
2013-10-27,1338.5660394232696,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2013-10-28,892.4579467371375,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2013-10-29,908.4558109135112,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2013-10-30,949.363875393326,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2013-10-31,907.3349873198138,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2013-11-01,981.1139083756339,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
2013-11-02,1135.3666026291821,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2013-11-03,1230.6719729027002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-04,795.8737550545254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-05,760.4139695310951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-06,769.7231345732437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-07,861.0836019909106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-08,833.2698709309387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-09,962.8616330472177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-10,1409.0380374543874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-11,903.8668604768619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-12,763.3610872842311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-13,825.5585489224966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-14,755.1135071147107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-15,800.9993416700266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-16,1035.8242847575434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-17,1528.5392931551794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-18,817.6433355742591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-19,738.1047996267854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-20,813.9534644921199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-21,853.6506709062544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-22,816.9537254202986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-23,1004.4821948614315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-24,1532.0185932964766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-25,873.9824105913707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-26,887.563369601944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-27,755.2323235187655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-28,896.0903312530888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-29,832.8768609444601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-30,910.7939809397319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,1280.6953149356827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-02,861.9942448230777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-03,777.794427646608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-04,843.1505129355406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-05,890.2682948417541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-06,790.0316140123776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-07,904.9413612856545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-08,1062.6841144632506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-09,786.1899470100659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-10,752.5261338572203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-11,663.9436088703742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-12,782.2123669475939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-13,638.2887921715168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-14,849.1494194115802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-15,1253.8341768342807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-16,666.2557154992016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-17,729.9862989893425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-18,741.387061469087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-19,777.3476925918459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-12-20,803.3698722612262,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2013-12-21,952.706372374962,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
2013-12-22,1100.0715602336995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
2013-12-23,1135.3498051849904,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-12-24,1196.1039805684811,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-12-27,1046.5050905217483,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-12-29,1325.6055115941328,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-12-30,1304.5518123662262,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-12-31,2615.411465998202,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-01-02,1109.768357865197,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-01-03,954.1766594477392,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-01-04,1067.970002269235,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1
2014-01-05,1144.0151004741842,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
2014-01-06,895.3691186296448,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
2014-01-07,847.8436767971933,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
2014-01-08,777.4072171279016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-01-09,781.6807188819216,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-01-10,782.8674244551742,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-01-11,959.8012135015724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-01-12,1340.7548880041472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-13,741.4495026597153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-14,936.5213857499343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-15,830.7377230019596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-16,770.0172241686898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-17,747.6715306350366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,944.1617442557983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,1220.7024878319878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-20,759.801997745881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-21,763.6102926834246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,753.2215259926763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-23,782.8592752846621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-24,838.307380749211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,1008.6817290177335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,1266.7093130913943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-27,771.1300095229415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28,746.7602622622551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-29,667.3154208773776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-30,825.8107980059964,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2014-01-31,854.155243834605,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2014-02-01,975.637960343788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-02-02,1509.8415657624632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-02-03,1016.9616428978118,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-04,859.734163151601,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-05,942.007951768995,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-06,865.1264800892702,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-07,809.3276702842346,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-08,1173.552493724504,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-09,1516.4584454543453,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-10,902.6904266306271,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-11,873.2750269820312,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-12,878.9593947816298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-02-13,978.778082866471,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-02-14,1031.6013056731867,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-02-15,1288.433705630126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-02-16,1569.4396743696482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,958.049885632887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014-02-18,878.808137373197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014-02-19,858.0510266162246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014-02-20,960.3537065468499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014-02-21,1070.9307865187961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014-02-22,1197.528262769981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014-02-23,1809.3455146386827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-02-24,856.1532814509101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-02-25,825.7675854817389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-02-26,870.6899982675251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-02-27,916.2552833928478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-02-28,899.268724082196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-03-01,1268.6885449098131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-03-02,1337.7904860961848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-03,988.2635790463731,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2014-03-04,871.3438158130646,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2014-03-05,852.917075026495,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2014-03-06,871.9140449465931,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2014-03-07,827.4461834290363,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2014-03-08,1173.379178112737,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2014-03-09,1446.847960507953,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-10,852.0610901777795,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-11,887.9159219295015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-12,842.3930250625217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-13,895.1589952708027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-14,891.026300266016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-15,1139.863691175324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-16,956.5634131875869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-17,830.5246723091902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-18,821.6401810236359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-19,782.1333458992243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,924.249996257062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-21,854.000540913451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,1223.6760947767984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,1094.95086385811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,942.990897995599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,863.8886337911291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-26,942.6452068543758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-27,1066.6499110331606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,1113.2579566216907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,1499.953244891842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,1213.1806003825902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,992.7367025202632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
